index,单价,小区名称,建筑面积,户型,房屋总价,朝向,楼层,装修
0,41117元/平米,仙岳山庄,104.58平米,2室2厅2卫,430万,南北,低层,简装修
1,63489元/平米,禹洲华侨海景城,201.61平米,5室2厅2卫,1280万,东北,高层,豪华装修
2,58339元/平米,汇丰家园,128.56平米,3室2厅2卫,750万,南北,中层,中装修
3,46739元/平米,嘉盛豪园,92平米,3室2厅1卫,430万,南北,中层,精装修
4,43952元/平米,金帝花园,118.31平米,3室2厅2卫,520万,南北,高层,简装修
5,43245元/平米,摩登时代,48.56平米,1室1厅1卫,210万,东,中层,简装修
6,39667元/平米,金榜铁路家园,60平米,2室1厅1卫,238万,南北,高层,简装修
7,75666元/平米,筼筜书院,85.64平米,2室2厅1卫,648万,南北,低层,简装修
8,48350元/平米,龙山二期安置房,103平米,3室2厅1卫,498万,南北,高层,精装修
9,65753元/平米,海洋新村,73平米,3室1厅1卫,480万,南北,中层,精装修
10,58154元/平米,鸿山大厦,65平米,2室1厅1卫,378万,南北,中层,简装修
11,55767元/平米,海湾新城,168.2平米,4室2厅2卫,938万,东南,低层,精装修
12,70423元/平米,东卉花园,142平米,3室2厅2卫,1000万,南北,中层,中装修
13,54198元/平米,华天花园,131平米,3室2厅2卫,710万,南北,中层,精装修
14,38265元/平米,华天花园二期,93.82平米,2室1厅1卫,359万,东,低层,暂无
15,57565元/平米,港龙花园,135.5平米,3室2厅2卫,780万,南北,高层,中装修
16,74257元/平米,海峡国际社区,161.6平米,3室2厅2卫,1200万,东南,高层,精装修
17,52128元/平米,振兴新村,47平米,2室1厅1卫,245万,东南,中层,简装修
18,73337元/平米,厦禾裕景,321.8平米,5室2厅4卫,2360万,南北,低层,豪华装修
19,41892元/平米,岭兜小区,74平米,2室2厅1卫,310万,南北,中层,简装修
20,53061元/平米,金同花园,98平米,2室2厅2卫,520万,南北,高层,精装修
21,108000元/平米,新景七星公馆,170平米,3室2厅1卫,1836万,南北,中层,毛坯
22,59552元/平米,万科金域蓝湾,134平米,5室2厅2卫,798万,南北,低层,精装修
23,73050元/平米,天鹭大厦,141平米,3室2厅2卫,1030万,东南,中层,简装修
24,46506元/平米,槟榔西里,83平米,3室2厅1卫,386万,南北,低层,中装修
25,37597元/平米,屿后北里,73.41平米,2室2厅1卫,276万,南北,高层,精装修
26,41379元/平米,太湖新城,87平米,3室2厅2卫,360万,南北,高层,简装修
27,55072元/平米,上东美地,138平米,3室2厅2卫,760万,南北,中层,精装修
28,39002元/平米,古楼北里,53.33平米,暂无,208万,南北,高层,中装修
29,55767元/平米,海湾新城,168.2平米,4室2厅2卫,938万,东南,低层,精装修
30,57496元/平米,文馨园,121.4平米,3室2厅2卫,698万,南北,高层,中装修
31,34993元/平米,金鸡亭花园小区,75.73平米,2室2厅1卫,265万,南北,高层,精装修
32,51972元/平米,美仁宫大厦,75.04平米,2室2厅1卫,390万,南北,高层,简装修
33,55030元/平米,枫丹雅苑,149.01平米,3室2厅2卫,820万,东南,高层,中装修
34,35321元/平米,禹洲花园二期,109平米,3室2厅2卫,385万,南北,高层,简装修
35,66414元/平米,南湖豪苑,52.7平米,2室1厅1卫,350万,西,中层,中装修
36,48235元/平米,国贸信隆城,146.78平米,4室2厅3卫,708万,南北,中层,简装修
37,40139元/平米,华林花园二期,72平米,2室1厅1卫,289万,南北,高层,中装修
38,52103元/平米,国贸广场,134.35平米,3室2厅2卫,700万,东,中层,暂无
39,88727元/平米,璟湾二十八玺,550平米,6室3厅5卫,4880万,南,低层,毛坯
40,75085元/平米,海峡国际社区三期,293平米,6室2厅4卫,2200万,南北,低层,豪华装修
41,40885元/平米,联丰瑞园,79.98平米,2室2厅1卫,327万,南北,高层,中装修
42,58247元/平米,凯旋广场,97平米,3室2厅1卫,565万,东南,低层,精装修
43,78176元/平米,陶然北岸,153.5平米,3室2厅3卫,1200万,南北,低层,精装修
44,46823元/平米,松岳里小区,119.6平米,3室2厅2卫,560万,南北,中层,简装修
45,80791元/平米,蓝湾国际,177平米,4室2厅2卫,1430万,南北,高层,精装修
46,25143元/平米,聚祥广场,35平米,1室1厅1卫,88万,西南,低层,豪华装修
47,44748元/平米,云顶至尊,269.51平米,4室2厅4卫,1206万,南北,高层,精装修
48,81737元/平米,山景叠院,152.93平米,3室2厅2卫,1250万,南北,中层,精装修
49,60317元/平米,瑞景公园,126平米,3室2厅2卫,760万,南北,低层,精装修
50,65440元/平米,鑫塔水尚,122.25平米,5室3厅3卫,800万,西,低层,精装修
51,52519元/平米,美新广场,131平米,3室2厅2卫,688万,南北,中层,简装修
52,44981元/平米,云顶至尊,269平米,4室2厅4卫,1210万,南北,高层,精装修
53,37250元/平米,电台山小区,80平米,2室2厅1卫,298万,南北,高层,简装修
54,72414元/平米,海峡国际社区三期,290平米,4室2厅4卫,2100万,东,高层,暂无
55,52103元/平米,国贸广场,134.35平米,3室2厅2卫,700万,南北,中层,毛坯
56,44723元/平米,前埔北区一里,95.7平米,3室2厅1卫,428万,南北,中层,简装修
57,42468元/平米,百合花园,223.7平米,4室2厅4卫,950万,东南,中层,精装修
58,65957元/平米,海峡国际天璟,94平米,2室2厅1卫,620万,南,低层,精装修
59,95329元/平米,东卉花园,283.23平米,4室3厅3卫,2700万,南北,低层,中装修
0,67279元/平米,海峡国际天璟,136平米,3室1厅2卫,915万,西北,中层,精装修
1,44817元/平米,宝龙中心二期,95.5平米,2室2厅2卫,428万,南,中层,精装修
2,70950元/平米,海峡国际社区四期,89.5平米,2室2厅1卫,635万,东,中层,暂无
3,58541元/平米,四季阁,104.2平米,3室2厅2卫,610万,西南,中层,简装修
4,99206元/平米,新景禾祥高峰会,201.6平米,5室2厅3卫,2000万,南北,高层,精装修
5,50038元/平米,育秀里,65.95平米,2室2厅1卫,330万,东西,高层,精装修
6,54389元/平米,罗宾森广场,53.32平米,2室1厅1卫,290万,西,中层,精装修
7,39295元/平米,嘉华里,83.98平米,3室1厅1卫,330万,南北,低层,毛坯
8,68605元/平米,厦门大学城,43平米,暂无,295万,西,低层,简装修
9,53871元/平米,南洋大厦,124平米,4室2厅2卫,668万,南北,中层,豪华装修
10,57807元/平米,定安小区,70.58平米,2室2厅1卫,408万,南北,中层,简装修
11,53498元/平米,莲滨里,82.62平米,2室2厅1卫,442万,南北,低层,简装修
12,75326元/平米,蓝湾国际,196.48平米,5室2厅2卫,1480万,南北,高层,豪华装修
13,65385元/平米,金桥园,130平米,3室2厅2卫,850万,南北,高层,中装修
14,39598元/平米,文屏山庄,84.6平米,3室1厅1卫,335万,南北,低层,精装修
15,117909元/平米,新景七星公馆,305.32平米,7室3厅4卫,3600万,南北,中层,毛坯
16,116188元/平米,新华城,76.6平米,2室1厅1卫,890万,西南,中层,简装修
17,42242元/平米,文屏巷,49.24平米,1室1厅1卫,208万,南北,低层,中装修
18,37205元/平米,宝达大厦,110.2平米,3室2厅2卫,410万,南北,高层,简装修
19,39887元/平米,联发花园,134.38平米,3室2厅2卫,536万,南北,低层,中装修
20,35599元/平米,嘉华里,83.99平米,3室1厅1卫,299万,南北,低层,毛坯
21,63699元/平米,江山帝景,146平米,3室2厅2卫,930万,南北,中层,精装修
22,44109元/平米,厦港新村,66.88平米,2室2厅1卫,295万,南北,中层,简装修
23,48873元/平米,御景苑,147.32平米,4室2厅2卫,720万,南北,高层,中装修
24,90449元/平米,皇家御城,351.58平米,5室2厅5卫,3180万,东南,低层,豪华装修
25,48462元/平米,禹洲世贸国际,130平米,3室2厅2卫,630万,东,中层,豪华装修
26,38221元/平米,武汉大厦,143.9平米,3室2厅2卫,550万,南北,中层,精装修
27,60847元/平米,华尔顿1275,189平米,4室2厅2卫,1150万,东南,低层,豪华装修
28,49263元/平米,联发花园,115.3平米,3室2厅2卫,568万,南北,高层,简装修
29,40679元/平米,店上东里,97.84平米,3室2厅1卫,398万,南北,高层,中装修
30,68750元/平米,汇禾新城,80平米,2室2厅1卫,550万,南北,中层,简装修
31,44930元/平米,厦港新村,65.88平米,2室1厅1卫,296万,南北,中层,简装修
32,72890元/平米,鸿山新村,78.2平米,2室1厅1卫,570万,西南,中层,精装修
33,46455元/平米,湖北大厦,94.5平米,3室2厅1卫,439万,东,低层,精装修
34,49451元/平米,金祥大厦,91平米,3室2厅2卫,450万,南北,中层,豪华装修
35,48958元/平米,瑞景新村,96平米,3室2厅1卫,470万,南北,中层,精装修
36,65789元/平米,陶然北岸,174.8平米,4室2厅2卫,1150万,南北,中层,精装修
37,63971元/平米,海峡国际天璟,136平米,3室2厅2卫,870万,南北,低层,豪华装修
38,43182元/平米,国贸新城,88平米,2室2厅1卫,380万,南北,中层,简装修
39,59561元/平米,万科金域蓝湾,133.98平米,5室2厅2卫,798万,南北,低层,中装修
40,62791元/平米,海峡国际社区,172平米,3室2厅2卫,1080万,南北,低层,精装修
41,67797元/平米,禹洲碧山临海,177平米,4室2厅2卫,1200万,南北,中层,精装修
42,44326元/平米,文兴东二里,67.68平米,2室2厅1卫,300万,南北,高层,中装修
43,52174元/平米,家家海景,92平米,3室2厅2卫,480万,南,高层,简装修
44,32824元/平米,凌香里,131平米,3室2厅1卫,430万,南北,高层,简装修
45,44937元/平米,嘉盛豪园,130.85平米,3室2厅2卫,588万,南北,低层,简装修
46,69756元/平米,国贸春天,200.7平米,4室2厅3卫,1400万,南北,中层,简装修
47,42500元/平米,不见天,56平米,2室1厅1卫,238万,南北,中层,简装修
48,46840元/平米,云顶至尊,269平米,4室2厅3卫,1260万,南北,中层,中装修
49,62500元/平米,巴厘香墅,448平米,5室2厅3卫,2800万,南,低层,毛坯
50,49194元/平米,自然家园,124平米,3室2厅2卫,610万,南北,中层,简装修
51,66304元/平米,海峡国际社区二期,92平米,1室2厅1卫,610万,东,中层,暂无
52,51161元/平米,英皇湖畔花苑,71.93平米,2室2厅1卫,368万,东南,低层,精装修
53,59420元/平米,假日香港广场,138平米,3室2厅2卫,820万,南北,高层,毛坯
54,53333元/平米,水岸筼筜,165平米,4室2厅2卫,880万,南,高层,简装修
55,42712元/平米,石亭小区,88.5平米,3室2厅2卫,378万,南北,高层,简装修
56,52128元/平米,振兴新村,47平米,2室1厅1卫,245万,南北,中层,简装修
57,75000元/平米,海峡国际社区二期,58平米,1室1厅1卫,435万,北,高层,精装修
58,45817元/平米,华孚花园,50.2平米,2室1厅1卫,230万,东南,低层,简装修
59,89219元/平米,皇家御城,358.67平米,5室2厅3卫,3200万,南北,高层,简装修
0,70345元/平米,城立方,58平米,3室2厅2卫,408万,西北,中层,精装修
1,55814元/平米,中铁海曦,129平米,3室2厅2卫,720万,南北,高层,精装修
2,116798元/平米,新华城,76.2平米,2室1厅1卫,890万,南北,中层,精装修
3,52941元/平米,鹭江新城三期,85平米,2室2厅1卫,450万,南北,高层,精装修
4,53346元/平米,泛华大厦,103.1平米,3室2厅2卫,550万,西北,中层,精装修
5,65957元/平米,天鹭大厦,141平米,3室2厅1卫,930万,南北,高层,精装修
6,53684元/平米,莲花花园,95平米,3室2厅1卫,510万,南北,中层,精装修
7,80843元/平米,新景高峰会,204.1平米,5室2厅3卫,1650万,南北,高层,毛坯
8,39688元/平米,石亭小区,70.55平米,2室1厅1卫,280万,南北,低层,简装修
9,60284元/平米,厦门千禧园,141平米,3室2厅2卫,850万,南北,高层,精装修
10,38400元/平米,莲坂西小区,75平米,2室2厅1卫,288万,东,高层,暂无
11,57348元/平米,怡祥大厦,139.5平米,3室2厅2卫,800万,西南,中层,简装修
12,47729元/平米,共和大厦,47.77平米,2室1厅1卫,228万,北,中层,中装修
13,81403元/平米,海峡国际社区四期,159.7平米,3室2厅2卫,1300万,南,中层,精装修
14,55873元/平米,源昌君悦山,157.5平米,3室2厅2卫,880万,南北,低层,简装修
15,65440元/平米,鑫塔水尚,122.25平米,5室3厅3卫,800万,西,低层,精装修
16,50472元/平米,翡翠城,150.58平米,4室2厅2卫,760万,南北,低层,中装修
17,42172元/平米,巡司顶社区,75.88平米,2室1厅1卫,320万,南北,中层,中装修
18,39163元/平米,文兴东三里,85.54平米,2室2厅1卫,335万,南北,中层,中装修
19,42778元/平米,银龙广场,90平米,2室2厅1卫,385万,西北,中层,精装修
20,62609元/平米,假日香港广场,115平米,3室2厅2卫,720万,东南,高层,精装修
21,116188元/平米,新华城,76.6平米,2室1厅1卫,890万,南北,中层,简装修
22,47500元/平米,珍珠湾花园,84平米,2室1厅1卫,399万,南北,低层,简装修
23,39720元/平米,前埔北区二里,107平米,3室2厅2卫,425万,南北,低层,简装修
24,39418元/平米,莲坂西小区,75.6平米,2室2厅1卫,298万,南北,高层,毛坯
25,59333元/平米,厦门千禧园,150平米,4室2厅2卫,890万,南北,高层,精装修
26,64945元/平米,鸿图大厦,135.5平米,3室2厅2卫,880万,南北,低层,简装修
27,68626元/平米,瑞景公园,131平米,3室2厅2卫,899万,南北,低层,精装修
28,35922元/平米,古楼南里,144.2平米,3室2厅3卫,518万,南北,高层,简装修
29,46835元/平米,源昌广场,79平米,2室2厅1卫,370万,西北,中层,简装修
30,58654元/平米,四季阁,104平米,3室2厅2卫,610万,南北,低层,简装修
